,0,1
1637,US,North America
1638,US,North America
1639,US,North America
1640,US,North America
1641,US,North America
1642,US,North America
1643,US,North America
1644,IN,Asia
1645,US,North America
1646,US,North America
1647,US,North America
1648,US,North America
1649,US,North America
1650,US,North America
1651,PK,Asia
1652,CA,North America
1653,US,North America
1654,US,North America
1655,US,North America
1656,US,North America
1657,US,North America
1658,US,North America
1659,US,North America
1660,,
1661,US,North America
1662,US,North America
1663,US,North America
1664,US,North America
1665,US,North America
1666,US,North America
1667,RO,Europe
1668,US,North America
1669,US,North America
1670,US,North America
1671,US,North America
1672,,
1673,US,North America
1674,US,North America
1675,US,North America
1676,GB,Europe
1677,,
1678,US,North America
1679,US,North America
1680,US,North America
1681,US,North America
1682,US,North America
1683,US,North America
1684,US,North America
1685,PK,Asia
1686,US,North America
1687,US,North America
1688,US,North America
1689,PK,Asia
1690,US,North America
1691,US,North America
1692,PK,Asia
1693,US,North America
1694,US,North America
1695,,
1696,US,North America
1697,US,North America
1698,US,North America
1699,CA,North America
1700,US,North America
1701,PK,Asia
1702,US,North America
1703,US,North America
1704,US,North America
1705,US,North America
1706,US,North America
1707,US,North America
1708,US,North America
1709,US,North America
1710,US,North America
1711,US,North America
1712,US,North America
1713,US,North America
1714,US,North America
1715,US,North America
1716,US,North America
1717,US,North America
1718,US,North America
1719,US,North America
1720,US,North America
1721,US,North America
1722,US,North America
1723,US,North America
1724,US,North America
1725,PK,Asia
1726,US,North America
1727,IN,Asia
1728,US,North America
1729,US,North America
1730,US,North America
1731,US,North America
1732,US,North America
1733,PK,Asia
1734,US,North America
1735,US,North America
1736,US,North America
1737,US,North America
1738,,
1739,US,North America
1740,US,North America
1741,US,North America
1742,US,North America
1743,US,North America
1744,US,North America
1745,US,North America
1746,US,North America
1747,US,North America
1748,US,North America
1749,US,North America
1750,US,North America
1751,CA,North America
1752,US,North America
1753,US,North America
1754,US,North America
1755,CA,North America
1756,US,North America
1757,US,North America
1758,US,North America
1759,US,North America
1760,US,North America
1761,US,North America
1762,US,North America
1763,US,North America
1764,US,North America
1765,US,North America
1766,US,North America
1767,,
1768,US,North America
1769,US,North America
1770,US,North America
1771,US,North America
1772,US,North America
1773,US,North America
1774,PK,Asia
1775,US,North America
1776,US,North America
1777,IN,Asia
1778,US,North America
1779,US,North America
1780,US,North America
1781,IN,Asia
1782,CA,North America
1783,US,North America
1784,US,North America
1785,US,North America
1786,US,North America
1787,CA,North America
1788,US,North America
1789,US,North America
1790,US,North America
1791,US,North America
1792,US,North America
1793,CA,North America
1794,US,North America
