,Name,Platform,Publisher,Chartz_Score,User_Score,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year_of_Release,Genre
127, Crash Bandicoot 2: Cortex Strikes Back     ,Sony Computer Entertainment  ,Naughty Dog  ,,8.6  ,,7.58,3.78,2.17,1.31,0.31,31 Oct 97  ,Platform
128, Mario Kart 8 Deluxe     ,Nintendo  ,Nintendo EAD  ,,9.3  ,,7.57,2.87,2.74,1.45,0.51,28 Apr 17  ,Racing
129, Call of Duty: World at War     ,Activision  ,Treyarch  ,8.8  ,8.5  ,7.8  ,7.49,4.87,1.91,,0.71,10 Nov 08  ,
130, Battlefield 3     ,Electronic Arts  ,Dice  ,,8.5  ,,7.35,4.47,2.12,0.06,0.69,25 Oct 11  ,Shooter
131, Battlefield 1     ,Electronic Arts  ,EA DICE  ,,,,7.25,2.15,3.69,0.29,1.11,21 Oct 16  ,Shooter
132, Just Dance     ,Ubisoft  ,Ubisoft Paris  ,,5.4  ,,7.21,3.48,2.99,,0.73,17 Nov 09  ,Misc
133, The Legend of Zelda: Twilight Princess     ,Nintendo  ,Nintendo EAD  ,9.3  ,9.5  ,9.6  ,7.18,3.74,2.16,0.60,0.69,19 Nov 06  ,Action-Adventure
134, Crash Bandicoot 3: Warped     ,Sony Computer Entertainment  ,Naughty Dog Software  ,,9.3  ,,7.13,3.68,1.75,1.42,0.28,31 Oct 98  ,Platform
135, The Legend of Zelda: Breath of the Wild     ,Nintendo  ,Nintendo EAD  ,,9.2  ,,6.95,3.35,2.15,0.92,0.53,03 Mar 17  ,Action
136, Need for Speed Underground 2     ,Electronic Arts  ,EA Black Box  ,,8.3  ,,6.90,2.71,3.02,0.08,1.09,15 Nov 04  ,Racing
137, Uncharted 3: Drake's Deception     ,Sony Computer Entertainment  ,Naughty Dog  ,,9.3  ,6.3  ,6.84,2.77,2.81,0.19,1.06,01 Nov 11  ,Action
138, Crash Bandicoot     ,Sony Computer Entertainment  ,Naughty Dog  ,,7.8  ,,6.82,3.23,2.35,0.94,0.30,01 Sep 96  ,Platform
139, Gears of War 2     ,Microsoft  ,Epic Games  ,9.0  ,9.4  ,9.5  ,6.75,4.15,1.91,0.06,0.64,07 Nov 08  ,
140, Call of Duty 4: Modern Warfare     ,Activision  ,Infinity Ward  ,,9.5  ,9.6  ,6.72,3.13,2.27,0.28,1.04,05 Nov 07  ,Shooter
141, Big Brain Academy     ,Nintendo  ,Nintendo EAD  ,,7.7  ,,6.63,1.66,2.75,1.60,0.62,05 Jun 06  ,Misc
142, Red Dead Redemption     ,Rockstar Games  ,Rockstar San Diego  ,9.1  ,9.5  ,,6.57,2.82,2.58,0.17,1.00,11 Oct 11  ,Action
143, Assassin's Creed III     ,Ubisoft  ,Ubisoft Montreal  ,,8.8  ,,6.50,2.65,2.61,0.16,1.08,30 Oct 12  ,Platform
144, The Elder Scrolls V: Skyrim     ,Bethesda Softworks  ,Bethesda Game Studios  ,,9.0  ,,6.49,2.57,2.68,0.25,0.99,11 Nov 11  ,Role-Playing
145, Red Dead Redemption     ,Rockstar Games  ,Rockstar San Diego  ,9.1  ,9.5  ,10.0  ,6.42,3.73,2.01,0.09,0.59,18 May 10  ,Action
146, Kingdom Hearts     ,Square EA  ,SquareSoft  ,,8.5  ,,6.40,3.64,1.20,1.49,0.07,16 Sep 02  ,Role-Playing
147, Halo 3: ODST     ,Microsoft  ,Bungie Software  ,8.4  ,8.7  ,,6.35,4.34,1.34,0.06,0.61,22 Sep 09  ,
148, Super Mario Sunshine     ,Nintendo  ,Nintendo EAD  ,8.9  ,9.2  ,,6.31,4.01,1.26,0.87,0.17,25 Aug 02  ,Platform
149, Street Fighter II: The World Warrior     ,Capcom  ,Capcom  ,,,,6.30,2.47,0.83,2.87,0.12,01 Jul 92  ,Fighting
150, Kinect Sports     ,Microsoft  ,Rare Ltd.  ,,7.4  ,,6.23,3.92,1.73,0.03,0.55,04 Nov 10  ,Simulation
151, Gears of War 3     ,Microsoft  ,Epic Games  ,,9.1  ,,6.22,4.05,1.59,0.07,0.50,20 Sep 11  ,Shooter
152, Metal Gear Solid 2: Sons of Liberty     ,Konami  ,Konami Computer Entertainment Japan  ,,9.5  ,7.0  ,6.05,2.45,2.01,0.87,0.72,12 Nov 01  ,Action
153, Metal Gear Solid     ,Konami  ,Konami Computer Entertainment Japan  ,,9.3  ,,6.03,3.18,1.83,0.78,0.24,21 Oct 98  ,Strategy
154, Minecraft     ,Sony Computer Entertainment  ,Mojang  ,,,,5.98,2.18,2.82,,0.98,16 May 14  ,Misc
155, Pokemon: Ultra Sun and Ultra Moon     ,Nintendo  ,Game Freak  ,,7.1  ,,5.89,1.91,1.38,2.28,0.31,17 Nov 17  ,Role-Playing
156, LittleBigPlanet     ,Sony Computer Entertainment  ,Media Molecule  ,9.2  ,9.4  ,9.2  ,5.85,2.80,2.01,0.17,0.87,28 Oct 08  ,
157, Minecraft     ,Sony Computer Entertainment America  ,Mojang  ,,,,5.81,1.73,2.92,0.28,0.89,07 Oct 14  ,Misc
158, Destiny     ,Activision  ,Bungie  ,,,,5.75,2.53,2.12,0.16,0.94,09 Sep 14  ,MMO
159, Tomodachi Life     ,Nintendo  ,Nintendo  ,,7.8  ,,5.69,0.92,2.53,1.97,0.26,06 Jun 14  ,Simulation
160, LEGO Star Wars: The Complete Saga     ,LucasArts  ,Traveller's Tales  ,,8.0  ,,5.66,3.57,1.57,,0.52,06 Nov 07  ,Action
161, Tetris     ,Nintendo  ,Nintendo  ,,,,5.58,2.97,0.69,1.81,0.11,01 Nov 89  ,Puzzle
162, Super Smash Bros.     ,Nintendo  ,HAL Laboratory  ,,8.4  ,,5.55,2.95,0.60,1.97,0.04,26 Apr 99  ,Fighting
163, Batman: Arkham City     ,Warner Bros. Interactive  ,Rocksteady Studios  ,,9.6  ,,5.54,2.72,1.89,0.11,0.82,18 Oct 11  ,Action
164, Monster Hunter Freedom Unite     ,Capcom  ,Capcom Production Studio 1  ,,7.7  ,9.7  ,5.50,0.47,0.57,4.13,0.34,23 Jun 09  ,Role-Playing
165, Mario Kart: Super Circuit     ,Nintendo  ,Intelligent Systems  ,,9.3  ,,5.47,2.62,1.64,0.99,0.23,26 Aug 01  ,Racing
166, Super Mario World: Super Mario Advance 2     ,Nintendo  ,Nintendo EAD  ,,9.4  ,,5.46,3.21,1.11,0.95,0.20,09 Feb 02  ,Platform
167, Pok�mon Stadium     ,Nintendo  ,HAL Laboratory  ,,7.5  ,,5.45,3.18,1.24,0.94,0.09,06 Mar 00  ,Strategy
168, Crash Bandicoot: The Wrath of Cortex     ,Universal Interactive  ,Traveller's Tales  ,,6.9  ,,5.42,2.07,2.29,0.24,0.82,29 Oct 01  ,Platform
169, Dr. Mario     ,Nintendo  ,Nintendo R&D1;  ,,,,5.34,2.18,0.96,2.00,0.20,01 Dec 90  ,Puzzle
170, Pok�mon Pinball     ,Nintendo  ,Jupiter Corporation  ,,8.7  ,,5.31,3.02,1.12,1.01,0.16,31 Jul 99  ,Misc
171, Assassin's Creed II     ,Ubisoft  ,Ubisoft Montreal  ,9.0  ,9.1  ,,5.30,3.14,1.55,0.08,0.52,17 Nov 09  ,
172, Donkey Kong 64     ,Nintendo  ,Rare Ltd.  ,,9.3  ,,5.27,3.33,0.79,1.09,0.06,22 Nov 99  ,Platform
173, Diablo III     ,Blizzard Entertainment  ,Blizzard Entertainment  ,8.4  ,9.0  ,,5.24,2.49,2.23,,0.52,15 May 12  ,
174, Madden NFL 2004     ,EA Sports  ,EA Tiburon  ,,9.5  ,,5.23,4.26,0.26,0.01,0.71,12 Aug 03  ,Sports
