0,1,2,3,4
Codemasters Birmingham  ,US,North America,39.900401,-75.619855
"Livesay Technologies, Inc.  ",US,North America,31.99788,-106.60649
Taito Corporation  ,US,North America,44.10482,-123.12233
Criterion  ,AU,Australia,-37.28766,143.77513
Natsume  ,ZA,Africa,-32.06197,27.75838
Rockstar Leeds/North  ,US,North America,33.56447,-86.52173
Acclaim Studios Salt Lake City  ,US,North America,40.61781,-111.782796
Steel Monkeys  ,PR,North America,18.46227,-66.28317
M2  ,AU,Australia,-27.61288,152.93284
Spike Chunsoft  ,US,North America,30.34625,-96.52375
Atlus  ,PH,Asia,15.22427,120.59477
SCEA / SCEE London Studio  ,GB,Europe,51.59042,-0.22118
